cluster,n_cells,pct,top_truth,top_n,purity,n_truth_types
5,1021,29.31,cortex,442,0.433,8
8,620,17.8,medulla cords,280,0.452,7
0,527,15.13,medulla sinuses,250,0.474,9
3,467,13.4,medulla sinuses,170,0.364,10
4,328,9.41,medulla cords,139,0.424,9
2,322,9.24,medulla sinuses,139,0.432,9
6,93,2.67,medulla cords,47,0.505,7
7,57,1.64,medulla sinuses,28,0.491,8
1,49,1.41,medulla sinuses,16,0.327,7
